latitude,longitude,ZipCode
50.959,-116.5957,V0A 0A0
50.509,-116.0314,V0A 0A1
51.1207,-116.7366,V0A 0A2
51.1207,-116.7366,V0A 0A3
51.1207,-116.7366,V0A 0A4
51.1207,-116.7366,V0A 0A5
51.2961,-116.9631,V0A 0A6
51.0701,-116.6349,V0A 0A7
50.827,-116.27,V0A 0A8
50.5402,-116.0019,V0A 1A0
50.827,-116.27,V0A 1B0
50.7033,-116.1405,V0A 1E0
51.3954,-116.4822,V0A 1G0
51.3362,-117.1221,V0A 1H0
51.3267,-116.9792,V0A 1H1
51.3095,-116.9766,V0A 1H2
51.3031,-116.9426,V0A 1H3
51.1715,-116.8149,V0A 1H4
51.2894,-116.9526,V0A 1H6
51.1799,-116.8146,V0A 1H7
50.9681,-116.4329,V0A 1J0
50.5174,-116.036,V0A 1K0
50.5643,-116.0259,V0A 1K2
50.5148,-116.0099,V0A 1K3
50.4927,-116.0414,V0A 1K4
50.5439,-116.0597,V0A 1K5
50.5114,-116.0289,V0A 1K6
50.5531,-115.9228,V0A 1K7
51.0368,-116.4887,V0A 1L0
50.6224,-116.0716,V0A 1M0
50.6164,-116.123,V0A 1P0
50.4573,-116.2407,V0A 1T0
49.4806,-115.8558,V0B 0A1
49.4806,-115.8558,V0B 0A2
50.0246,-114.9235,V0B 0A3
49.4806,-115.8558,V0B 0A4
50.3359,-115.8512,V0B 0A5
49.4806,-115.8558,V0B 0A6
49.4806,-115.8558,V0B 0A7
49.4806,-115.8558,V0B 0A8
49.4806,-115.8558,V0B 0A9
49.4806,-115.8558,V0B 0B1
49.4806,-115.8558,V0B 0B2
49.4806,-115.8558,V0B 0B3
49.4806,-115.8558,V0B 0B4
49.4806,-115.8558,V0B 0B5
49.4806,-115.8558,V0B 0B6
49.4806,-115.8558,V0B 0B7
49.4806,-115.8558,V0B 0B8
49.0955,-116.5135,V0B 0B9
49.0912,-116.4661,V0B 0C1
49.2881,-115.8335,V0B 0C2
49.4539,-116.763,V0B 1A0
50.04,-115.3855,V0B 1A1
50.04,-115.3855,V0B 1A2
50.04,-115.3855,V0B 1A3
49.4777,-116.7678,V0B 1A4
50.1548,-115.8081,V0B 1B0
49.0376,-116.4202,V0B 1C0
49.0592,-116.4448,V0B 1C1
49.6824,-116.8261,V0B 1E0
49.0925,-116.4964,V0B 1G0
49.0893,-116.493,V0B 1G1
49.0673,-116.5034,V0B 1G2
49.0881,-116.5121,V0B 1G3
49.1026,-116.5118,V0B 1G4
49.0947,-116.4968,V0B 1G5
49.0885,-116.5057,V0B 1G6
49.085,-116.5985,V0B 1G7
49.085,-116.5985,V0B 1G7
49.1199,-116.5301,V0B 1G8
49.0884,-116.463,V0B 1G9
49.0884,-116.463,V0B 1G9
50.0342,-114.8791,V0B 1H0
49.296,-115.1135,V0B 1J0
49.0729,-116.4737,V0B 1K0
50.3359,-115.8512,V0B 1L0
50.3334,-115.8634,V0B 1L1
50.2874,-115.8789,V0B 1L2
49.4924,-115.0718,V0B 1M0
49.4963,-115.081,V0B 1M1
49.501,-115.0581,V0B 1M2
49.4946,-115.0662,V0B 1M3
49.4896,-115.063,V0B 1M4
49.511,-115.0539,V0B 1M5
49.4581,-115.077,V0B 1M6
49.4875,-115.0788,V0B 1M7
49.6155,-115.6301,V0B 1N0
49.2914,-115.179,V0B 1P0
49.091,-115.075,V0B 1R0
49.1473,-115.1075,V0B 1R1
49.6219,-116.771,V0B 1S0
49.3753,-115.3003,V0B 1T0
49.3768,-115.2972,V0B 1T1
49.3719,-115.2406,V0B 1T2
49.3018,-115.1149,V0B 1T3
49.2295,-115.2214,V0B 1T4
49.3768,-115.2972,V0B 1T5
54.6245,-124.9003,V0B 1T6
49.3768,-115.2972,V0B 1T7
49.0826,-116.0915,V0B 1V0
49.029,-116.1087,V0B 1V1
49.1604,-116.3122,V0B 1W0
49.1605,-116.2762,V0B 1W1
49.158,-116.3357,V0B 1W2
49.6847,-116.8667,V0B 1X0
