index,zpid,id,imgSrc,detailUrl,TypeofProperty,formattedprice,Price,address,addressStreet,addressZipcode,beds,baths,area,latLong,has3DModel,brokerName,best_deal
614,2070285804,2070285804,https://photos.zillowstatic.com/fp/f67e9aa377accec170ec5c4df3939547-p_e.jpg,https://www.zillow.com/homedetails/838-W-Hastings-St-1507-Vancouver-BC-V6C-0A6/2070285804_zpid/,Condo,"C$1,058,000",1058000,"838 W Hastings St #1507, Vancouver, BC V6C 0A6",838 W Hastings St #1507,V6C0A6,1,1,945,"{'latitude': 49.286182, 'longitude': -123.11589}",FALSE,,1058000
49,2066436476,2066436476,https://photos.zillowstatic.com/fp/b0831a45b644e730dcde19908b9e9205-p_e.jpg,https://www.zillow.com/homedetails/2418-Broad-Way-302-Vancouver-BC-V5M-4T9/2066436476_zpid/,Condo,"C$419,900",419900,"2418 Broad Way #302, Vancouver, BC V5M 4T9",2418 Broad Way #302,V5M4T9,2,2,992,"{'latitude': 49.261505, 'longitude': -123.05453}",FALSE,eXp Realty,419900
136,2067490635,2067490635,https://photos.zillowstatic.com/fp/76674f8faebbd45aaa732155b4a10cae-p_e.jpg,https://www.zillow.com/homedetails/567-Hornby-St-1207-Vancouver-BC-V6C-2E8/2067490635_zpid/,Condo,"C$438,800",438800,"567 Hornby St #1207, Vancouver, BC V6C 2E8",567 Hornby St #1207,V6C2E8,1,1,383,{},FALSE,Park Georgia Realty Ltd.,438800
411,2060499969,2060499969,https://photos.zillowstatic.com/fp/856694207604c51fecc4dab83ffc813d-p_e.jpg,https://www.zillow.com/homedetails/2239-Kingsway-109-Vancouver-BC-V5N-0E5/2060499969_zpid/,Condo,"C$449,000",449000,"2239 Kingsway #109, Vancouver, BC V5N 0E5",2239 Kingsway #109,V5N0E5,0,1,415,"{'latitude': 49.243015, 'longitude': -123.05983}",FALSE,Nu Stream Realty Inc.,449000
636,2060854306,2060854306,https://photos.zillowstatic.com/fp/91c1798b32dc653abfdb2ef4457c99fb-p_e.jpg,https://www.zillow.com/homedetails/1221-Bidwell-St-904-Vancouver-BC-V6G-0B1/2060854306_zpid/,Condo,"C$599,900",599900,"1221 Bidwell St #904, Vancouver, BC V6G 0B1",1221 Bidwell St #904,V6G0B1,0,1,415,"{'latitude': 49.286224, 'longitude': -123.14085}",FALSE,Team 3000 Realty Ltd.,599900
463,2081362214,2081362214,https://photos.zillowstatic.com/fp/a981c712a9a62ddc0c158a8b06bc5d11-p_e.jpg,https://www.zillow.com/homedetails/1225-Richards-St-805-Vancouver-BC-V6B-1E6/2081362214_zpid/,Condo,"C$564,900",564900,"1225 Richards St #805, Vancouver, BC V6B 1E6",1225 Richards St #805,V6B1E6,0,1,417,"{'latitude': 49.27579, 'longitude': -123.12494}",FALSE,Team 3000 Realty Ltd.,564900
52,2060119979,2060119979,https://photos.zillowstatic.com/fp/e85040b3e8e3aefd0e6e9aaad98011ba-p_e.jpg,https://www.zillow.com/homedetails/2408-Grant-St-206-Vancouver-BC-V5K-3G4/2060119979_zpid/,Condo,"C$478,000",478000,"2408 Grant St #206, Vancouver, BC V5K 3G4",2408 Grant St #206,V5K3G4,0,1,420,"{'latitude': 49.27109, 'longitude': -123.05576}",FALSE,Oakwyn Realty Downtown Ltd.,478000
470,2067491694,2067491694,https://photos.zillowstatic.com/fp/76674f8faebbd45aaa732155b4a10cae-p_e.jpg,https://www.zillow.com/homedetails/567-Hornby-St-309-Vancouver-BC-V6C-2E8/2067491694_zpid/,Condo,"C$498,800",498800,"567 Hornby St #309, Vancouver, BC V6C 2E8",567 Hornby St #309,V6C2E8,1,1,429,{},FALSE,Park Georgia Realty Ltd.,498800
709,2060204974,2060204974,https://photos.zillowstatic.com/fp/33539a6e42bb8fee0e1ec06d2d7cddb2-p_e.jpg,https://www.zillow.com/homedetails/3465-Glen-Dr-107-Vancouver-BC-V5V-4S5/2060204974_zpid/,Condo,"C$475,000",475000,"3465 Glen Dr #107, Vancouver, BC V5V 4S5",3465 Glen Dr #107,V5V4S5,1,1,434,"{'latitude': 49.253487, 'longitude': -123.08229}",FALSE,Vybe Realty,475000
267,2060429603,2060429603,https://photos.zillowstatic.com/fp/b948cd0f9118efbde4163708e396a3d6-p_e.jpg,https://www.zillow.com/homedetails/2224-Eton-St-103-Vancouver-BC-V5L-1C8/2060429603_zpid/,Condo,"C$449,000",449000,"2224 Eton St #103, Vancouver, BC V5L 1C8",2224 Eton St #103,V5L1C8,0,1,435,"{'latitude': 49.28725, 'longitude': -123.058975}",FALSE,Oakwyn Realty Downtown Ltd.,449000
